NOM_TURNO,COLONIA,SOSTENIMIENTO,NIVEL,PROGRAMA,DESERCION_INTRACURRICULAR,REPROBACION,REPROBACION_CON_REGULARIZADOS,EFICIENCIA_TERMINAL
VESPERTINO,9359,PARTICULAR,SECUNDARIA,GENERAL,0.0,0.0576,0.0216,0.6875
MATUTINO,9387,PARTICULAR,SECUNDARIA,GENERAL,0.0058,0.0,0.0,0.986
MATUTINO,9384,PARTICULAR,SECUNDARIA,GENERAL,0.0042,0.0999,0.0183,0.8545
MATUTINO,9069,PARTICULAR,SECUNDARIA,GENERAL,0.0037,0.0,0.0,0.9011
MATUTINO,9010,PARTICULAR,SECUNDARIA,GENERAL,0.013999999999999999,0.0472,0.0,1.0
MATUTINO,9032,PARTICULAR,SECUNDARIA,GENERAL,0.0225,0.092,0.0115,0.6829
MATUTINO,9000,PARTICULAR,SECUNDARIA,GENERAL,0.0,0.0,0.0,0.7727
MATUTINO,9368,PARTICULAR,SECUNDARIA,GENERAL,0.0,0.0,0.0,1.0
MATUTINO,9391,PARTICULAR,SECUNDARIA,GENERAL,0.0,0.0,0.0,0.8333
MATUTINO,9043,PARTICULAR,SECUNDARIA,GENERAL,0.027000000000000003,0.0682,0.0051,0.8489
MATUTINO,9075,PARTICULAR,SECUNDARIA,GENERAL,0.0,0.0,0.0,1.0
MATUTINO,9415,PARTICULAR,SECUNDARIA,GENERAL,0.0075,0.0604,0.0,1.0
MATUTINO,9371,PARTICULAR,SECUNDARIA,GENERAL,0.0,0.0,0.0,0.747
MATUTINO,9073,PARTICULAR,SECUNDARIA,GENERAL,0.0175,0.0,0.0,0.8846
MATUTINO,9434,PARTICULAR,SECUNDARIA,GENERAL,0.0366,0.0253,0.0127,1.0
MATUTINO,9358,PARTICULAR,SECUNDARIA,GENERAL,0.0333,0.0,0.0,1.0
MATUTINO,9069,PARTICULAR,SECUNDARIA,GENERAL,0.0065,0.0,0.0,0.8088
MATUTINO,9070,PARTICULAR,SECUNDARIA,GENERAL,0.05,0.0526,0.0,1.0
MATUTINO,9338,PARTICULAR,SECUNDARIA,GENERAL,0.0,0.1124,0.0674,0.8421
MATUTINO,9359,PARTICULAR,SECUNDARIA,GENERAL,0.0329,0.0291,0.0291,0.7831
MATUTINO,9000,PARTICULAR,SECUNDARIA,GENERAL,0.0,0.0152,0.0,0.9706
MATUTINO,9009,PARTICULAR,SECUNDARIA,GENERAL,0.0,0.0,0.0,1.0
